Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Danny Ward,WAL,EURO,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,109,0,1,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,149,0,5,0,21,0,1,0,50,21,0,0,0,0,0,0,0,0,0,0,0,0,6,1,17,11,6,0,0,0,0,0,0,0,31,0,0,0,0,0,0
Dean Henderson,MUN,UEL,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,70,100,0,2,32,0,3,0,0,0,0,0,0,0,0,0,0,0,0,142,0,4,0,8,0,3,0,30,9,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,6,5,0,0,1,0,3,3,1,16,0,0,0,0,0,0
Manuel Neuer,GER,EURO,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,125,0,1,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,153,0,1,0,5,0,2,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,2,3,2,0,0,0,1,1,1,21,0,0,0,0,0,0
Filip Helander,RAN,UEL,D,4,360,4,0,0,0,0,0,1,0,0,0,0,2,1,3,0,0,0,0,0,0,1,2,2,4,4,166,189,0,7,22,0,13,0,0,2,1,1,0,0,0,0,0,0,0,223,2,4,16,36,2,1,0,25,28,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,10,0,6,0,0,0,0,1,0
Hakan Arslan,SIV,UEL,M,4,360,4,0,0,0,0,0,0,1,0,1,0,3,0,4,0,0,2,1,1,0,1,7,2,4,10,97,114,0,9,23,0,26,0,0,2,0,0,1,0,0,0,0,3,0,166,2,12,23,41,0,2,0,24,12,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,7,7,0,12,0,0,1,0,0,0
Lennart Grill,LEV,BUND,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,115,135,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,1,0,4,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,7,1,14,10,4,2,0,0,0,5,5,3,12,0,0,0,0,0,0
Jose Sa,OLY,UEL,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,75,140,0,0,45,0,2,0,0,0,0,0,0,0,0,0,0,0,0,186,0,4,0,18,0,1,0,67,18,0,0,0,0,0,0,0,0,0,0,0,0,7,1,14,9,5,3,0,0,0,3,3,0,31,0,0,0,0,0,0
Paul Gartler,RAP,UEL,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,125,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,14,0,0,0,42,14,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,7,2,3,0,4,0,4,4,2,19,0,0,0,0,0,0
Duje Caleta-Car,OM,UCL,D,4,360,4,0,0,1,0,0,0,0,0,0,0,2,0,5,0,0,1,0,1,0,3,3,1,5,1,225,258,0,12,18,0,16,0,0,2,0,0,0,0,0,0,0,0,0,293,4,17,11,44,0,5,0,35,20,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,14,14,0,20,0,0,0,0,0,0
Raphael Guerreiro,POR,EURO,M/D,4,360,4,0,0,0,0,0,1,0,0,0,0,3,1,1,11,5,4,0,3,1,0,7,5,2,0,216,237,4,0,18,3,10,0,0,1,1,1,2,0,0,0,0,1,1,313,3,58,11,128,0,13,0,42,19,0,0,0,0,2,1,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,2,2,0,8,0,0,0,0,0,6
Petar Zanev,CSO,UEL,D,4,360,4,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,3,4,0,5,2,136,176,0,4,15,1,11,0,0,0,0,0,0,0,0,0,0,1,0,228,0,18,12,44,0,7,0,52,21,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,15,15,0,15,0,0,1,0,0,1
Antonio Rudiger,GER,EURO,D,4,360,4,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,3,1,276,297,0,5,22,0,8,0,0,2,1,0,0,0,0,0,0,2,0,328,4,41,12,127,2,3,0,25,26,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,6,0,9,0,0,0,0,0,0
Borek Dockal,SPA,UEL,M,5,360,4,1,2,3,0,0,1,3,0,3,0,2,1,2,22,6,9,4,3,3,2,6,2,5,7,179,234,2,1,24,1,14,0,0,1,1,1,1,0,0,0,0,3,0,303,2,58,19,108,0,32,0,81,26,0,0,0,0,4,2,7,7,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,3
Vitalii Vernydub,ZOR,UEL,D,4,360,4,0,0,3,0,0,0,0,0,0,0,3,0,7,1,0,1,0,1,0,2,7,4,6,4,206,255,0,17,30,1,29,0,0,3,0,0,0,0,0,0,0,0,0,309,3,22,13,72,0,4,0,52,26,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,18,18,0,26,0,0,0,0,0,1
Odisseas Vlachodimos,BEN,UEL,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,82,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,1,0,4,0,0,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,5,2,12,5,6,3,0,0,0,3,3,2,9,0,0,0,0,0,0
Jakub Jugas,LIB,UEL,D,4,360,4,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,1,0,1,0,2,4,2,1,2,37,73,0,7,15,0,13,0,0,1,0,0,1,0,0,0,0,0,0,109,3,7,15,18,0,1,0,37,13,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,15,15,0,9,0,0,0,0,0,0
Rui Patricio,POR,EURO,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,61,79,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,2,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,11,5,6,1,0,1,0,2,2,1,8,0,0,0,0,0,0
Roman Burki,BVB,UCL,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,89,118,0,1,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,152,0,2,1,7,0,0,0,29,7,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,4,5,0,0,1,0,0,0,0,19,0,0,0,0,0,0
Shane Duffy,CEL,UEL,D,4,360,4,0,0,1,0,0,0,0,0,0,0,2,0,7,1,0,0,0,0,0,2,3,2,8,1,120,148,0,14,14,0,18,0,0,2,0,0,0,0,0,0,0,1,0,192,3,8,13,29,0,1,0,32,21,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,19,19,0,12,0,0,0,0,0,0
Maarten Stekelenburg,NED,EURO,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,125,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,3,0,13,0,1,0,49,13,0,0,0,0,0,0,0,0,0,0,0,0,4,2,8,3,5,0,0,0,0,1,1,0,24,0,0,0,0,0,0
Filip Nguyen,LIB,UEL,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,42,94,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,128,0,14,0,29,0,3,0,57,29,0,0,0,0,0,0,0,0,0,0,0,0,8,1,13,10,3,3,0,1,0,4,4,2,31,0,0,0,0,0,0
Soualiho Meite,MIL,UEL,M,4,360,4,0,0,0,0,0,0,0,0,0,0,2,1,8,0,0,3,0,3,0,0,10,4,15,6,154,185,0,10,34,4,30,0,0,2,1,0,0,0,0,0,0,7,0,254,4,31,36,81,0,4,0,48,12,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,4,4,0,2,0,0,0,0,0,6
Toby Alderweireld,BEL,EURO,D,4,360,4,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,5,4,2,2,2,268,304,0,5,12,0,11,0,0,1,0,0,1,0,0,0,0,0,0,341,2,31,11,95,1,5,0,40,25,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,9,9,0,20,0,0,0,0,0,0
Federico Ravaglia,BOL,SERI,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,120,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,2,1,7,0,0,0,21,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,8,2,1,0,1,0,2,2,0,16,0,0,0,0,0,0
Sead Kolasinac,ARS,UEL,D,4,360,4,0,0,0,0,0,0,0,0,0,0,2,1,4,7,2,2,0,2,0,2,2,1,4,3,227,256,2,4,21,3,12,0,0,2,1,0,0,0,0,0,0,0,0,318,10,77,11,153,0,11,1,42,11,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,6
Alfred Gomis,REN,UCL,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,131,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,4,0,14,0,0,0,50,14,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15,9,5,1,0,2,0,2,2,0,28,0,0,0,0,0,0
Georgiy Bushchan,KIE,UCL,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,76,105,0,2,16,0,2,1,1,0,0,0,0,0,0,0,0,0,0,141,0,4,1,9,0,0,0,31,9,0,0,0,0,0,0,0,0,0,0,0,0,9,1,13,12,1,0,0,1,0,7,7,1,25,0,0,0,0,0,0
Georgiy Bushchan,KIE,UEL,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,92,134,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,10,0,19,0,0,0,45,19,0,0,0,0,0,0,0,0,0,0,0,0,5,1,9,6,2,0,0,0,0,3,3,2,29,0,0,0,0,0,0
